Time (ps),Quercetin-FN1,pQ3RU-FN1
528,2.160377,2.24967
530,2.159201,2.254581
532,2.15126,2.266803
534,2.138011,2.258307
536,2.142646,2.270767
538,2.150465,2.261608
540,2.147695,2.266607
542,2.148091,2.269732
544,2.139405,2.26777
546,2.144048,2.252997
548,2.141807,2.258205
550,2.151484,2.256749
552,2.14553,2.259776
554,2.148089,2.242246
556,2.145813,2.242454
558,2.151542,2.250298
560,2.154495,2.253604
562,2.150421,2.255284
564,2.148443,2.249796
566,2.149632,2.250991
568,2.143811,2.272879
570,2.150054,2.266068
572,2.167098,2.264627
574,2.162463,2.251811
576,2.162909,2.24445
578,2.172239,2.2571
580,2.165564,2.271049
582,2.161346,2.254332
584,2.165968,2.258716
586,2.167758,2.244668
588,2.169888,2.238383
590,2.167045,2.240957
592,2.160918,2.223273
594,2.154022,2.224369
596,2.156245,2.219634
598,2.149115,2.229813
600,2.168996,2.234589
602,2.163774,2.231083
604,2.151702,2.229007
606,2.150777,2.225824
608,2.152388,2.207239
610,2.156667,2.223231
612,2.164676,2.219012
614,2.157737,2.229358
616,2.158365,2.23064
618,2.154559,2.232841
620,2.150963,2.236251
622,2.148783,2.230317
624,2.151022,2.232327
626,2.145264,2.229091
628,2.132031,2.237146
630,2.11884,2.243474
632,2.133847,2.236079
634,2.137905,2.244056
636,2.151285,2.239732
638,2.140972,2.246617
640,2.133234,2.234369
642,2.136631,2.22633
644,2.14587,2.222014
646,2.138117,2.224733
648,2.133916,2.231021
650,2.148219,2.237262
652,2.145435,2.236518
654,2.150074,2.240967
656,2.147132,2.238837
658,2.153142,2.237471
660,2.146182,2.238727
662,2.144903,2.219074
664,2.147551,2.226344
666,2.147446,2.234127
668,2.14819,2.249121
670,2.156149,2.225888
672,2.150667,2.217953
674,2.155777,2.217341
676,2.145462,2.214847
678,2.14855,2.223851
680,2.136321,2.23071
682,2.14034,2.233881
684,2.141694,2.228354
686,2.141121,2.22237
688,2.138588,2.218051
690,2.139175,2.228336
692,2.143869,2.225081
694,2.134997,2.222828
696,2.13677,2.228182
698,2.125844,2.23198
700,2.124839,2.221288
702,2.131277,2.228184
704,2.118195,2.232296
706,2.116164,2.236519
708,2.12452,2.232796
710,2.125432,2.226052
712,2.121618,2.220397
714,2.124446,2.222692
716,2.121577,2.226897
718,2.101613,2.232675
720,2.111499,2.229288
722,2.106209,2.224609
724,2.118414,2.216999
726,2.108842,2.219413
728,2.113709,2.224032
730,2.11941,2.226442
732,2.117013,2.233739
734,2.12681,2.233005
736,2.125031,2.228406
738,2.124839,2.226322
740,2.124694,2.245683
742,2.123222,2.253149
744,2.121365,2.257458
746,2.125365,2.265202
748,2.133199,2.257418
750,2.126031,2.250505
752,2.134534,2.24356
754,2.1324,2.242727
756,2.134117,2.248879
758,2.143692,2.250871
760,2.126355,2.242213
762,2.12023,2.238411
764,2.115878,2.241489
766,2.111645,2.253573
768,2.108526,2.248097
770,2.11224,2.246152
772,2.113411,2.245119
774,2.104586,2.261232
776,2.113324,2.252408
778,2.108141,2.248429
780,2.10089,2.241154
782,2.102628,2.235893
784,2.097964,2.227723
786,2.106817,2.225704
788,2.112543,2.241731
790,2.107791,2.22673
792,2.097155,2.233118
794,2.099666,2.245901
796,2.089562,2.237375
798,2.097474,2.239149
800,2.105358,2.236939
802,2.09536,2.237236
804,2.097009,2.235737
806,2.103349,2.235092
808,2.091469,2.227037
810,2.110806,2.229057
812,2.105848,2.24147
814,2.12162,2.228103
816,2.107246,2.235945
818,2.106623,2.234331
820,2.112299,2.232288
822,2.112483,2.232385
824,2.110942,2.232669
826,2.117171,2.229344
828,2.112212,2.229539
830,2.125907,2.2258
832,2.132263,2.22446
834,2.135861,2.215655
836,2.133708,2.211149
838,2.14338,2.210958
840,2.147159,2.212795
842,2.153023,2.212048
844,2.149961,2.21817
846,2.158227,2.218886
848,2.158276,2.215606
850,2.156073,2.22158
852,2.152123,2.214
854,2.149291,2.213136
856,2.147982,2.219894
858,2.155524,2.21298
860,2.146167,2.218778
862,2.156332,2.215632
864,2.156841,2.207373
866,2.143598,2.212422
868,2.145013,2.21327
870,2.136672,2.207508
872,2.133702,2.198837
874,2.132781,2.214208
876,2.13282,2.204803
878,2.131302,2.214777
880,2.13635,2.210672
882,2.136875,2.198393
884,2.13523,2.193412
886,2.13401,2.198475
888,2.147077,2.201609
890,2.145489,2.210796
892,2.144463,2.212345
894,2.139973,2.210292
896,2.14903,2.213874
898,2.150588,2.211857
900,2.144188,2.209842
902,2.141569,2.218164
904,2.147869,2.228407
906,2.153008,2.226985
908,2.146827,2.227015
910,2.140271,2.226278
912,2.128878,2.226522
914,2.138586,2.224572
916,2.136146,2.231898
918,2.137744,2.219398
920,2.132443,2.229088
922,2.137599,2.225846
924,2.14138,2.221299
926,2.133985,2.228348
928,2.130338,2.234503
930,2.134856,2.235227
