Gene Names
APEX1 APE APE1 APEX APX HAP1 REF1
TTR PALB
THRA EAR7 ERBA1 NR1A1 THRA1 THRA2
MAOA
DUSP3 VHR
TOP2A TOP2
RPS6KA3 ISPK1 MAPKAPK1B RSK2
XDH XDHA
KLF5 BTEB2 CKLF IKLF
ERN1 IRE1
FFAR4 GPR120 GPR129 O3FAR1 PGR4
ESR2 ESTRB NR3A2
TRIM24 RNF82 TIF1 TIF1A
CTSD CPSD
NR1I2 PXR
GLO1
YES1 YES
GLRA1
GRIA2 GluA2 GLUR2
CLK4
SLC6A5 GLYT2 NET1
CSNK2B CK2N G5A
GPBAR1 TGR5
LDHB
