Time (ns),Quercetin-FN1,pQ3RU-FN1
0.3520000,0.2359657,0.2960111
0.3540000,0.2475047,0.2973303
0.3560000,0.2438194,0.3005825
0.3580000,0.2279494,0.3028840
0.3600000,0.2177372,0.2863687
0.3620000,0.2153741,0.2900607
0.3640000,0.2101850,0.2973763
0.3660000,0.2080147,0.3013867
0.3680000,0.2026464,0.3089028
0.3700000,0.2134319,0.3023526
0.3720000,0.2076529,0.3110834
0.3740000,0.2179832,0.3062337
0.3760000,0.2209459,0.2999451
0.3780000,0.2055833,0.3019972
0.3800000,0.2059312,0.3039664
0.3820000,0.2092124,0.3016892
0.3840000,0.2024503,0.3010248
0.3860000,0.1898500,0.2922911
0.3880000,0.1872538,0.2905788
0.3900000,0.1825559,0.2824594
0.3920000,0.1829230,0.2918045
0.3940000,0.1786462,0.2983184
0.3960000,0.1681124,0.3267850
0.3980000,0.1751987,0.3168006
0.4000000,0.1744436,0.3195873
0.4020000,0.1729254,0.3275186
0.4040000,0.1695451,0.3299699
0.4060000,0.1746336,0.3318966
0.4080000,0.1761340,0.3249393
0.4100000,0.1719096,0.3268960
0.4120000,0.1578414,0.3390016
0.4140000,0.1496708,0.3471285
0.4160000,0.1553797,0.3480861
0.4180000,0.1536173,0.3370492
0.4200000,0.1705725,0.3328205
0.4220000,0.1811442,0.3271955
0.4240000,0.1766512,0.3333418
0.4260000,0.1834931,0.3370070
0.4280000,0.1844890,0.3287750
0.4300000,0.1769937,0.3297174
0.4320000,0.1870527,0.3337240
0.4340000,0.1723224,0.3285572
0.4360000,0.1754336,0.3350103
0.4380000,0.1751992,0.3396179
0.4400000,0.1664359,0.3444503
0.4420000,0.1807971,0.3464979
0.4440000,0.1927756,0.3559486
0.4460000,0.1867107,0.3448097
0.4480000,0.1899479,0.3378179
0.4500000,0.1864451,0.3419877
0.4520000,0.1957364,0.3428409
0.4540000,0.1969054,0.3498397
0.4560000,0.1906612,0.3517478
0.4580000,0.1757152,0.3500975
0.4600000,0.1800150,0.3560084
0.4620000,0.1769049,0.3560765
0.4640000,0.1808327,0.3541903
0.4660000,0.1837709,0.3556009
0.4680000,0.1690891,0.3508415
0.4700000,0.1660000,0.3478969
0.4720000,0.1690070,0.3516581
0.4740000,0.1748459,0.3517399
0.4760000,0.1655899,0.3493731
0.4780000,0.1708648,0.3443128
0.4800000,0.1882760,0.3443621
